0;3.783
30;3.783
60;3.784
90;3.782
120;3.782
150;3.782
180;3.783
210;3.783
240;3.783
270;3.781
300;3.783
330;3.783
360;3.783
390;3.782
420;3.782
450;3.783
480;3.784
510;3.783
540;3.784
570;3.784
600;3.784
630;3.782
660;3.783
690;3.784
720;3.784
750;3.782
780;3.783
810;3.783
840;3.784
870;3.785
900;3.785
930;3.783
960;3.784
990;3.784
1020;3.785
1050;3.784
1080;3.784
1110;3.784
1140;3.782
1170;3.784
1200;3.782
1230;3.783
1260;3.784
1290;3.784
1320;3.785
1350;3.783
1380;3.785
1410;3.785
1440;3.784
1470;3.785
1500;3.784
1530;3.785
1560;3.782
1590;3.784
1620;3.784
1650;3.784
1680;3.785
1710;3.786
1740;3.786
1770;3.786
1800;3.785
1830;3.785
1860;3.784
1890;3.786
1920;3.787
1950;3.786
1980;3.785
2010;3.785
2040;3.785
2070;3.784
2100;3.783
2130;3.785
2160;3.786
2190;3.786
2220;3.785
2250;3.785
2280;3.784
2310;3.785
2340;3.785
2370;3.785
2400;3.783
2430;3.784
2460;3.782
2490;3.782
2520;3.783
2550;3.783
2580;3.783
2610;3.783
2640;3.782
2670;3.781
2700;3.782
2730;3.782
2760;3.782
2790;3.784
2820;3.782
2850;3.784
2880;3.783
2910;3.784
2940;3.784
2970;3.784
3000;3.783
